0,1,2,3,4,5,6,7,8,9,10,11,12,13
39.0,11.0,11.0,44.0,13204.0,1320402.0,33.0,4279.0,2309.0,0.0,0.0,5.0,802.0,2.0
29.0,24.0,24.0,64.0,12191.0,1219102.0,74.0,3694.0,869.0,0.0,0.0,1.0,666.0,2.0
29.0,24.0,24.0,64.0,11042.0,1104203.0,44.0,3894.0,2091.0,1.0,0.0,2.0,405.0,1.0
12.0,5.0,5.0,33.0,11292.0,1129202.0,82.0,5032.0,2725.0,1.0,0.0,1.0,551.0,2.0
12.0,5.0,5.0,33.0,14107.0,1410702.0,81.0,845.0,500.0,0.0,0.0,1.0,1849.0,4.0
12.0,5.0,5.0,33.0,14107.0,1410702.0,81.0,4771.0,2381.0,1.0,0.0,1.0,849.0,2.0
48.0,2.0,2.0,74.0,12953.0,1295302.0,22.0,1721.0,903.0,0.0,0.0,2.0,1381.0,3.0
48.0,2.0,2.0,74.0,10713.0,1071302.0,83.0,2992.0,876.0,1.0,0.0,1.0,795.0,2.0
33.0,18.0,18.0,14.0,13204.0,1320402.0,33.0,4487.0,2429.0,0.0,0.0,6.0,1142.0,3.0
6.0,0.0,0.0,91.0,12191.0,1219102.0,74.0,284.0,7.0,1.0,0.0,1.0,1246.0,3.0
12.0,5.0,5.0,33.0,14893.0,1489302.0,91.0,4980.0,87.0,1.0,0.0,1.0,990.0,2.0
17.0,14.0,14.0,41.0,11540.0,1154003.0,74.0,5595.0,847.0,1.0,0.0,1.0,793.0,2.0
6.0,0.0,0.0,91.0,14831.0,1483103.0,91.0,791.0,449.0,1.0,0.0,1.0,236.0,1.0
8.0,27.0,27.0,82.0,12892.0,1289203.0,91.0,441.0,253.0,0.0,0.0,3.0,862.0,2.0
6.0,0.0,0.0,91.0,12191.0,1219102.0,74.0,532.0,7.0,1.0,0.0,1.0,715.0,2.0
29.0,24.0,24.0,64.0,15304.0,1530402.0,33.0,4225.0,1973.0,0.0,0.0,1.0,1048.0,3.0
29.0,24.0,24.0,64.0,15376.0,1537602.0,81.0,3658.0,1939.0,1.0,0.0,3.0,533.0,2.0
6.0,0.0,0.0,91.0,11618.0,1161802.0,21.0,83.0,55.0,1.0,0.0,1.0,1797.0,4.0
29.0,24.0,24.0,64.0,13232.0,1323202.0,41.0,3292.0,1443.0,0.0,0.0,44.0,405.0,1.0
48.0,2.0,2.0,74.0,13232.0,1323202.0,41.0,1946.0,1102.0,0.0,0.0,1.0,793.0,2.0
36.0,13.0,13.0,22.0,14107.0,1410702.0,81.0,2306.0,1300.0,0.0,0.0,1.0,2149.0,5.0
17.0,14.0,14.0,41.0,12206.0,1220603.0,74.0,5892.0,850.0,0.0,0.0,1.0,1212.0,3.0
51.0,3.0,3.0,38.0,13232.0,1323202.0,41.0,5399.0,2874.0,0.0,0.0,92.0,601.0,2.0
29.0,24.0,24.0,64.0,14893.0,1489302.0,91.0,3635.0,289.0,1.0,0.0,2.0,533.0,2.0
12.0,5.0,5.0,33.0,13198.0,1319801.0,64.0,3154.0,1265.0,0.0,0.0,5.0,1072.0,3.0
12.0,5.0,5.0,33.0,14492.0,1449202.0,36.0,5107.0,2767.0,0.0,0.0,4.0,534.0,2.0
8.0,27.0,27.0,82.0,13198.0,1319801.0,64.0,3273.0,1745.0,0.0,0.0,1.0,533.0,2.0
27.0,30.0,30.0,63.0,12953.0,1295302.0,22.0,2221.0,1248.0,1.0,0.0,2.0,349.0,1.0
36.0,13.0,13.0,22.0,15304.0,1530402.0,33.0,2270.0,1225.0,1.0,0.0,1.0,725.0,2.0
17.0,14.0,14.0,41.0,12191.0,1219102.0,74.0,2667.0,850.0,0.0,0.0,1.0,937.0,2.0
